,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
10321,10321,2021.0,1184.0,Belgium,Belgium,1999-05-28,Attack,Attacking Midfield,Right,172.0,DW Sports Management,BE1,15,26,,3,0,94,3321000.0
1726,1726,2021.0,3729.0,UdSSR,Russia,1989-02-13,Attack,Attacking Midfield,Left,170.0,,RU1,7,12,9144.0,21,0,136,166050.0
3135,3135,2018.0,3714.0,UdSSR,Russia,1986-02-13,Attack,Centre-Forward,Right,189.0,,RU1,6,5,2271.0,4,0,39,194340.0
6713,6713,2019.0,995.0,Spain,Peru,1994-05-19,Attack,Attacking Midfield,Left,175.0,CG sports,FR1,23,11,5688.0,9,0,110,1107000.0
3934,3934,2021.0,3725.0,Ukraine,Ukraine,1992-07-05,Midfield,Left Midfield,Right,182.0,ProStar,RU1,9,8,6091.0,17,0,95,774900.0
337,337,2015.0,800.0,Argentina,Argentina,1987-02-27,Attack,Attacking Midfield,Right,159.0,ppsports,IT1,7,11,3721.0,5,0,49,553500.0
8366,8366,2021.0,2727.0,Belgium,Belgium,1997-02-07,Defender,Left-Back,Right,175.0,Cherry Sports,BE1,5,10,10172.0,16,0,127,1439100.0
4782,4782,2015.0,1038.0,Poland,Poland,1992-04-30,Midfield,Right Midfield,Right,186.0,KFM,IT1,0,5,2280.0,6,1,38,1107000.0
7839,7839,2019.0,128.0,Portugal,Portugal,1992-08-09,Goalkeeper,,Right,190.0,Oxysports TM,GR1,0,0,743.0,0,0,9,221400.0
8861,8861,2021.0,418.0,Spain,Spain,1996-08-07,Midfield,Central Midfield,Right,179.0,,ES1,8,12,12241.0,34,0,215,15498000.0
3269,3269,2017.0,989.0,England,England,1992-06-17,Goalkeeper,,Right,189.0,Unique Sports Group,GB1,0,0,135.0,0,0,2,442800.0
12487,12487,2021.0,1053.0,Denmark,Denmark,2001-01-15,Defender,Centre-Back,Right,190.0,Loevel/Lund/Oevad,DK1,3,1,4176.0,14,0,61,1107000.0
13296,13296,2021.0,11.0,Brazil,Brazil,2001-06-18,Attack,Left Winger,Right,176.0,TFM Agency,GB1,19,12,,7,0,79,44280000.0
8232,8232,2019.0,415.0,Belgium,Belgium,1997-11-15,Attack,Centre-Forward,Right,182.0,Sport Cover,FR1,18,3,5369.0,12,1,119,2435400.0
9785,9785,2021.0,79.0,Japan,Japan,1999-05-12,Defender,Centre-Back,Left,186.0,"Universal Sports Japan Ltd,",L1,1,1,2528.0,2,0,31,3321000.0
8015,8015,2019.0,720.0,France,Mali,1991-04-14,Attack,Second Striker,Right,183.0,TEAM MANAGEMENT,PO1,93,46,18054.0,33,1,231,9963000.0
4100,4100,2018.0,16704.0,Georgia,Georgia,1992-02-12,Attack,Left Winger,,181.0,GBM Sports Group.bv ,RU1,6,1,3067.0,10,0,64,885600.0
5147,5147,2021.0,2687.0,Romania,Romania,1993-04-11,Attack,Centre-Forward,Right,180.0,YOU FIRST SPORTS ,ES1,31,6,8312.0,25,1,138,1328400.0
5250,5250,2021.0,5817.0,Australia,Australia,1992-05-09,Goalkeeper,,Right,191.0,Lucien Okill,DK1,0,0,4050.0,3,0,45,442800.0
1523,1523,2015.0,6414.0,UdSSR,Ukraine,1988-08-29,Defender,Centre-Back,Left,188.0,Polish Sports Group,UKR1,1,0,3074.0,6,2,37,110700.0
7628,7628,2016.0,3205.0,Turkey,Turkey,1995-10-08,Defender,Left-Back,Left,175.0,Sezer Bravo,TR1,0,0,46.0,0,0,2,110700.0
